company_id,industry
922983,hospitals and health care
1475190,human resources services
21007,software development
87147260,financial services
310756,hospitals and health care
2019,financial services
10831504,hospitals and health care
67331111,software development
450312,medical equipment manufacturing
16685,construction
33247784,insurance
101591290,it services and it consulting
18058364,hospitals and health care
3029525,hospitals and health care
1768093,hospitals and health care
5340064,higher education
22456,staffing and recruiting
7587252,it services and it consulting
68160051,wellness and fitness services
6575603,staffing and recruiting
165924,consumer services
9859,motor vehicle manufacturing
2385130,insurance
25929,staffing and recruiting
2951516,financial services
116488,accounting
1122744,food and beverage manufacturing
8498368,non-profit organizations
10364146,financial services
1063,software development
2143963,staffing and recruiting
2564990,telecommunications
47664328,telecommunications
10010758,manufacturing
2474662,staffing and recruiting
5399183,wellness and fitness services
1767,financial services
7933020,gambling facilities and casinos
5365891,it services and it consulting
62197,mental health care
2843538,biotechnology research
1339209,entertainment providers
35679573,it services and it consulting
165461,hospitals and health care
1012577,advertising services
6419,computers and electronics manufacturing
7886,environmental services
80301,advertising services
3325979,it services and it consulting
68277511,staffing and recruiting
99093396,software development
5884,semiconductor manufacturing
81958632,wholesale building materials
28648492,utilities
3043691,computer and network security
11427160,financial services
95710173,architecture and planning
396765,construction
2684081,it services and it consulting
79988879,financial services
2107,motor vehicle manufacturing
69891324,real estate
38900,retail
3557,research services
7926885,financial services
5674,hospitals and health care
612636,financial services
3593828,staffing and recruiting
9018,book and periodical publishing
10376920,motor vehicle manufacturing
167902,"technology, information and internet"
3653845,software development
1087151,civil engineering
74539755,insurance
815009,staffing and recruiting
304182,construction
2614691,architecture and planning
10515109,chemical manufacturing
1646,higher education
163138,insurance
17138,telecommunications
166587,hospitals and health care
10559,medical equipment manufacturing
18021229,public safety
7507,retail luxury goods and jewelry
7684,software development
11506594,civil engineering
2569441,manufacturing
3180238,hospitals and health care
86813252,it services and it consulting
2081025,"appliances, electrical, and electronics manufacturing"
10127950,financial services
765008,software development
721189,hospitals and health care
96691,it services and it consulting
27139071,non-profit organizations
107699,food and beverage services
35647080,retail office equipment
15248569,higher education
28974109,business consulting and services
1029798,business consulting and services
163864,retail
81527214,hospitals and health care
3738912,retail
128505,hospitals and health care
11683433,defense and space manufacturing
33711,environmental services
163071,government administration
163161,construction
64538444,hospitals and health care
10298482,it services and it consulting
91392159,mental health care
107021,it services and it consulting
4296,telecommunications
35634312,oil and gas
120240,telecommunications
29295618,renewable energy semiconductor manufacturing
816968,security and investigations
11246635,staffing and recruiting
1393718,staffing and recruiting
124759,primary and secondary education
7542,insurance
66705802,staffing and recruiting
36749,retail
165602,it services and it consulting
2260243,software development
3009879,business consulting and services
2447993,staffing and recruiting
162301,machinery manufacturing
3719923,pharmaceutical manufacturing
28978143,hospitals and health care
3175,industrial machinery manufacturing
304056,real estate
945178,"appliances, electrical, and electronics manufacturing"
163617,staffing and recruiting
718526,hospitals and health care
35452956,insurance
19409,retail luxury goods and jewelry
96635463,advertising services
13948,software development
18915,real estate
1247220,it services and it consulting
19264941,hospitals and health care
166209,hospitals and health care
22503,non-profit organizations
101726330,real estate
14631354,it services and it consulting
86265278,truck transportation
40894,staffing and recruiting
3283566,law practice
1070686,it services and it consulting
36676,staffing and recruiting
1670,truck transportation
9511,civil engineering
90912229,hospitals and health care
71350,staffing and recruiting
760983,hospitals and health care
9463631,it services and it consulting
19022,software development
906633,staffing and recruiting
2563046,pharmaceutical manufacturing
221519,business consulting and services
11420962,chemical manufacturing
11779403,software development
8584,aviation and aerospace component manufacturing
1210593,retail
6460,computer and network security
77158779,it services and it consulting
